Season,Team,Opponent,Gameid,Player,3PM,3PA,2PM,2PA,FGM,FGA,FTM,FTA,OReb,DReb,Reb,Turnover,Points,eFG
2023-24,Carleton,Ottawa3,W20240228CAROTT,Kinly Rice,0,0,0,0,0,0,0,0,0,1,1,0,0,N/A
2023-24,Carleton,Ottawa3,W20240228CAROTT,Jacqueline Urban,0,0,12,18,12,18,0,1,5,12,17,1,24,0.666666667
2023-24,Carleton,Queen's3,W20240302CARQUE,Dorcas Buisa,0,2,5,13,5,15,2,5,4,4,8,1,12,0.333333333
2023-24,Carleton,Queen's3,W20240302CARQUE,Tatyanna Burke,0,0,1,6,1,6,3,4,4,5,9,4,5,0.166666667
2023-24,Carleton,Queen's3,W20240302CARQUE,Teresa Donato,1,5,6,12,7,17,0,0,1,1,2,6,15,0.441176471
2023-24,Carleton,Queen's3,W20240302CARQUE,Zerina Duvnjak,0,0,0,0,0,0,0,0,2,0,2,1,0,N/A
2023-24,Carleton,Queen's3,W20240302CARQUE,Oceane Kounkou,0,1,0,1,0,2,2,2,0,0,0,0,2,0
2023-24,Carleton,Queen's3,W20240302CARQUE,Kali Pocrnic,6,11,1,4,7,15,0,0,0,3,3,2,20,0.666666667
2023-24,Carleton,Queen's3,W20240302CARQUE,Kyana-Jade Poulin,0,2,1,5,1,7,1,2,1,3,4,3,3,0.142857143
2023-24,Carleton,Queen's3,W20240302CARQUE,Jacqueline Urban,0,2,2,3,2,5,2,5,2,6,8,3,6,0.4
2023-24,Carleton,UFV,W20240307CARUFV,Dorcas Buisa,0,3,4,5,4,8,0,0,3,1,4,1,8,0.5
2023-24,Carleton,UFV,W20240307CARUFV,Tatyanna Burke,0,0,1,3,1,3,0,0,0,1,1,2,2,0.333333333
2023-24,Carleton,UFV,W20240307CARUFV,Teresa Donato,0,4,3,10,3,14,0,0,1,0,1,3,6,0.214285714
2023-24,Carleton,UFV,W20240307CARUFV,Zerina Duvnjak,0,0,5,6,5,6,0,0,3,4,7,1,10,0.833333333
2023-24,Carleton,UFV,W20240307CARUFV,Oceane Kounkou,0,2,0,0,0,2,1,2,0,0,0,0,1,0
2023-24,Carleton,UFV,W20240307CARUFV,Kali Pocrnic,5,7,3,7,8,14,4,4,1,2,3,3,25,0.75
2023-24,Carleton,UFV,W20240307CARUFV,Kyana-Jade Poulin,1,6,2,5,3,11,4,4,2,8,10,2,11,0.318181818
2023-24,Carleton,UFV,W20240307CARUFV,Kinly Rice,0,0,0,0,0,0,0,2,0,1,1,0,0,N/A
2023-24,Carleton,UFV,W20240307CARUFV,Jacqueline Urban,2,2,3,6,5,8,0,2,2,2,4,1,12,0.75
2023-24,Carleton,Queen's4,W20240309CARQUE,Dorcas Buisa,1,4,2,5,3,9,0,2,1,1,2,2,7,0.388888889
2023-24,Carleton,Queen's4,W20240309CARQUE,Tatyanna Burke,0,0,5,10,5,10,2,3,0,5,5,3,12,0.5
2023-24,Carleton,Queen's4,W20240309CARQUE,Teresa Donato,0,1,4,11,4,12,0,0,0,2,2,3,8,0.333333333
2023-24,Carleton,Queen's4,W20240309CARQUE,Zerina Duvnjak,0,0,1,1,1,1,3,4,3,4,7,0,5,1
2023-24,Carleton,Queen's4,W20240309CARQUE,Gabrielle Francis,0,0,0,1,0,1,0,0,2,0,2,0,0,0
2023-24,Carleton,Queen's4,W20240309CARQUE,Oceane Kounkou,0,3,0,0,0,3,1,2,0,2,2,2,1,0
2023-24,Carleton,Queen's4,W20240309CARQUE,Miranda Navarro,0,0,0,0,0,0,2,2,0,1,1,0,2,N/A
2023-24,Carleton,Queen's4,W20240309CARQUE,Sierra Peck,0,0,0,0,0,0,0,0,0,2,2,0,0,N/A
2023-24,Carleton,Queen's4,W20240309CARQUE,Kali Pocrnic,3,5,5,10,8,15,3,4,0,2,2,1,22,0.633333333
2023-24,Carleton,Queen's4,W20240309CARQUE,Kyana-Jade Poulin,0,1,4,5,4,6,4,4,0,4,4,0,12,0.666666667
2023-24,Carleton,Queen's4,W20240309CARQUE,Kinly Rice,0,0,1,2,1,2,0,0,0,0,0,1,2,0.5
2023-24,Carleton,Queen's4,W20240309CARQUE,Jacqueline Urban,0,0,1,3,1,3,1,4,3,4,7,0,3,0.333333333
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Dorcas Buisa,1,1,2,7,3,8,4,4,0,1,1,2,11,0.4375
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Tatyanna Burke,1,2,5,9,6,11,1,2,3,5,8,1,14,0.590909091
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Teresa Donato,1,4,3,9,4,13,1,2,1,2,3,0,10,0.346153846
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Zerina Duvnjak,0,0,1,1,1,1,0,0,2,2,4,0,2,1
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Oceane Kounkou,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Kali Pocrnic,2,7,5,13,7,20,2,2,0,1,1,4,18,0.4
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Kyana-Jade Poulin,1,5,2,3,3,8,2,2,0,6,6,2,9,0.4375
2023-24,Carleton,Saskatchewan,W20240310SSKCAR,Jacqueline Urban,0,2,3,5,3,7,0,0,5,8,13,3,6,0.428571429
