Year,Home,hFGM,hFGA,hFGpercent,h3PM,h3PA,h3Ppercent,hFTM,hFTA,hOREB,hDREB,hTO,hPoints,Away,aFGM,aFGA,aFGpercent,a3PM,a3PA,a3Ppercent,aFTM,aFTA,aOREB,aDREB,aTO,aPoints,HTWon,heFG,hTOV,hORB,hDRB,hFTF,aeFG,aTOV,aORB,aDRB,aFTF
2016-2017,York,25,58,43.1,2,10,20,13,18,15,26,22,65,Laurentian,19,72,26.4,8,26,30.8,15,22,17,22,15,61,1,0.448275862,0.301700494,0.405405405,0.604651163,0.224137931,0.319444444,0.188253012,0.395348837,0.594594595,0.208333333
2016-2017,Guelph,26,66,39.4,2,13,15.4,9,14,8,20,20,63,Brock,30,70,42.9,7,14,50,8,11,6,26,20,75,0,0.409090909,0.237642586,0.235294118,0.769230769,0.136363636,0.478571429,0.225123818,0.230769231,0.764705882,0.114285714
2016-2017,Queens,28,71,39.4,4,17,23.5,8,14,16,33,17,68,Laurentian,17,57,29.8,3,14,21.4,6,8,7,26,22,43,1,0.422535211,0.217502559,0.380952381,0.825,0.112676056,0.324561404,0.291313559,0.175,0.619047619,0.105263158
2016-2017,Toronto,20,70,28.6,9,32,28.1,8,12,18,33,18,57,McMaster,29,74,39.2,10,31,32.3,11,14,14,34,16,79,0,0.35,0.239107333,0.346153846,0.70212766,0.114285714,0.459459459,0.194741967,0.29787234,0.653846154,0.148648649
2016-2017,Western,24,50,48,3,15,20,6,10,6,19,21,57,Carleton,30,63,47.6,7,18,38.9,11,15,14,21,13,78,0,0.51,0.30259366,0.222222222,0.575757576,0.12,0.531746032,0.189504373,0.424242424,0.777777778,0.174603175
2016-2017,Waterloo,18,68,26.5,6,20,30,13,16,13,24,15,55,Wilfrid Laurier,23,67,34.3,10,36,27.8,5,12,12,30,18,61,0,0.308823529,0.19470405,0.302325581,0.666666667,0.191176471,0.417910448,0.229943792,0.333333333,0.697674419,0.074626866
2016-2017,Windsor,24,65,36.9,6,16,37.5,9,14,14,31,17,63,Ottawa,21,61,34.4,2,7,28.6,3,7,6,19,15,47,1,0.415384615,0.229234088,0.424242424,0.837837838,0.138461538,0.360655738,0.205254516,0.162162162,0.575757576,0.049180328
2016-2017,York,21,63,33.3,5,13,38.5,21,30,18,26,17,68,Nipissing,24,68,35.3,9,29,31,7,9,11,22,19,64,1,0.373015873,0.22606383,0.45,0.702702703,0.333333333,0.419117647,0.237618809,0.297297297,0.55,0.102941176
2016-2017,Brock,25,55,45.5,5,15,33.3,5,9,12,38,26,60,Waterloo,17,69,24.6,3,21,14.3,11,20,23,22,16,48,1,0.5,0.356359649,0.352941176,0.62295082,0.090909091,0.268115942,0.225988701,0.37704918,0.647058824,0.15942029
2016-2017,Ryerson,29,75,38.7,2,11,18.2,11,15,12,28,11,71,York,24,59,40.7,0,7,0,13,16,11,35,24,61,1,0.4,0.136476427,0.255319149,0.717948718,0.146666667,0.406779661,0.303643725,0.282051282,0.744680851,0.220338983
2016-2017,Algoma,18,52,34.6,8,31,25.8,7,10,3,31,19,51,Western,14,72,19.4,2,28,7.1,13,18,12,26,15,43,1,0.423076923,0.262430939,0.103448276,0.720930233,0.134615385,0.208333333,0.18089725,0.279069767,0.896551724,0.180555556
2016-2017,Carleton,21,60,35,4,17,23.5,11,16,15,34,12,57,Ottawa,18,66,27.3,2,15,13.3,6,8,14,22,8,44,1,0.383333333,0.187382886,0.405405405,0.708333333,0.183333333,0.287878788,0.125944584,0.291666667,0.594594595,0.090909091
2016-2017,Laurentian,22,69,31.9,5,32,15.6,10,18,15,18,17,59,Lakehead,37,63,58.7,11,23,47.8,8,11,8,37,11,93,0,0.355072464,0.215408008,0.288461538,0.692307692,0.144927536,0.674603175,0.155279503,0.307692308,0.711538462,0.126984127
2016-2017,Nipissing,18,62,29,3,21,14.3,8,16,9,25,28,47,Guelph,25,73,34.2,1,18,5.6,20,30,18,27,17,71,0,0.314516129,0.318037256,0.25,0.581395349,0.129032258,0.349315068,0.199530516,0.418604651,0.75,0.273972603
2016-2017,Ryerson,21,65,32.3,3,15,20,14,20,12,36,16,59,Queen's,22,73,30.1,2,15,13.3,14,24,20,37,13,60,0,0.346153846,0.205655527,0.244897959,0.642857143,0.215384615,0.315068493,0.169801463,0.357142857,0.755102041,0.191780822
2016-2017,Toronto,26,66,39.4,5,17,29.4,10,13,13,24,15,67,York,21,59,35.6,1,11,9.1,14,23,16,27,21,57,1,0.431818182,0.203472599,0.325,0.6,0.151515152,0.36440678,0.283324339,0.4,0.675,0.237288136
2016-2017,Algoma,16,49,32.7,6,20,30,13,14,4,26,20,51,Western,26,58,44.8,13,22,59.1,9,16,6,21,13,74,0,0.387755102,0.281056773,0.16,0.8125,0.265306122,0.560344828,0.180455303,0.1875,0.84,0.155172414
2016-2017,Brock,29,63,46,4,11,36.4,10,12,11,39,18,72,Wilfrid Laurier,25,76,32.9,8,32,25,9,14,16,25,13,67,1,0.492063492,0.239107333,0.305555556,0.709090909,0.158730159,0.381578947,0.164224356,0.290909091,0.694444444,0.118421053
2016-2017,Laurentian,22,67,32.8,4,21,19,15,22,18,17,23,63,Guelph,28,65,43.1,3,11,27.3,18,23,22,29,24,77,0,0.358208955,0.28158668,0.382978723,0.435897436,0.223880597,0.453846154,0.31120332,0.564102564,0.617021277,0.276923077
2016-2017,McMaster,28,79,35.4,14,37,37.8,3,7,18,33,17,73,Waterloo,17,54,31.5,5,17,29.4,8,14,3,24,18,47,1,0.443037975,0.209669462,0.428571429,0.916666667,0.037974684,0.361111111,0.23948909,0.083333333,0.571428571,0.148148148
2016-2017,Nipissing,19,56,33.9,8,26,30.8,7,11,6,29,27,53,Lakehead,30,77,39,8,22,36.4,11,13,10,25,12,79,0,0.410714286,0.329912023,0.193548387,0.743589744,0.125,0.441558442,0.141643059,0.256410256,0.806451613,0.142857143
2016-2017,Toronto,16,67,23.9,2,20,10,10,22,22,26,24,44,Queen's,28,69,40.6,1,13,7.7,14,24,18,34,16,71,0,0.253731343,0.305033045,0.392857143,0.590909091,0.149253731,0.413043478,0.206291903,0.409090909,0.607142857,0.202898551
2016-2017,Western,20,57,35.1,8,26,30.8,10,11,8,33,21,58,Waterloo,18,57,31.6,6,18,33.3,3,7,8,29,23,45,1,0.421052632,0.28059861,0.216216216,0.804878049,0.175438596,0.368421053,0.306339904,0.195121951,0.783783784,0.052631579
2016-2017,Windsor,26,72,36.1,5,17,29.4,11,20,16,21,12,68,Wilfrid Laurier,24,53,45.3,4,14,28.6,13,22,12,26,19,65,1,0.395833333,0.15625,0.380952381,0.636363636,0.152777778,0.490566038,0.272675086,0.363636364,0.619047619,0.245283019
2016-2017,Brock,26,65,40,6,17,35.3,8,8,11,34,18,66,Algoma,16,61,26.2,4,26,15.4,9,12,14,28,18,45,1,0.446153846,0.238347458,0.282051282,0.708333333,0.123076923,0.295081967,0.256118384,0.291666667,0.717948718,0.147540984
2016-2017,Guelph,25,68,36.8,4,17,23.5,10,17,15,37,30,64,Lakehead,28,90,31.1,4,22,18.2,7,12,21,26,15,67,0,0.397058824,0.331564987,0.365853659,0.637931034,0.147058824,0.333333333,0.168010753,0.362068966,0.634146341,0.077777778
2016-2017,Nipissing,16,54,29.6,6,19,31.6,6,15,11,26,17,44,Laurentian,24,60,40,6,23,26.1,14,21,3,26,13,68,0,0.351851852,0.255255255,0.297297297,0.896551724,0.111111111,0.45,0.164058556,0.103448276,0.702702703,0.233333333
2016-2017,Queens,19,60,31.7,2,10,20,12,19,12,29,20,52,Carleton,19,51,37.3,8,18,44.4,14,22,7,33,25,60,0,0.333333333,0.261917234,0.266666667,0.805555556,0.2,0.450980392,0.317742755,0.194444444,0.733333333,0.274509804
2016-2017,Ryerson,26,60,43.3,3,20,15,16,25,17,32,16,71,Toronto,15,55,27.3,1,12,8.3,7,10,9,20,21,38,1,0.458333333,0.228571429,0.459459459,0.780487805,0.266666667,0.281818182,0.294117647,0.219512195,0.540540541,0.127272727
2016-2017,York,20,44,45.5,0,7,0,14,23,13,20,28,54,Ottawa,24,72,33.3,4,16,25,10,13,15,17,17,62,0,0.454545455,0.405092593,0.433333333,0.571428571,0.318181818,0.361111111,0.213246362,0.428571429,0.566666667,0.138888889
2016-2017,Guelph,28,79,35.4,5,25,20,10,13,15,28,13,71,Lakehead,25,70,35.7,6,21,28.6,14,20,7,30,15,70,1,0.386075949,0.157156673,0.333333333,0.8,0.126582278,0.4,0.17281106,0.2,0.666666667,0.2
2016-2017,McMaster,32,83,38.6,13,35,37.1,10,20,18,30,12,87,Algoma,15,55,27.3,5,19,26.3,6,14,9,28,30,41,1,0.463855422,0.13986014,0.391304348,0.769230769,0.120481928,0.318181818,0.365141188,0.230769231,0.608695652,0.109090909
2016-2017,Queens,22,64,34.4,5,17,29.4,6,10,11,33,14,55,Ottawa,21,60,35,1,10,10,1,4,11,29,16,44,1,0.3828125,0.196078431,0.275,0.75,0.09375,0.358333333,0.23966447,0.25,0.725,0.016666667
2016-2017,Waterloo,21,66,31.8,3,12,25,4,7,9,20,18,49,Windsor,26,64,40.6,9,22,40.9,15,23,14,26,11,76,0,0.340909091,0.230532787,0.257142857,0.588235294,0.060606061,0.4765625,0.154668166,0.411764706,0.742857143,0.234375
2016-2017,Wilfrid Laurier,26,67,38.8,11,25,44,9,13,9,21,13,72,Western,26,62,41.9,3,16,18.8,4,7,9,30,28,59,1,0.470149254,0.169447341,0.230769231,0.7,0.134328358,0.443548387,0.333016175,0.3,0.769230769,0.064516129
2016-2017,York,16,62,25.8,3,10,30,5,10,15,20,14,40,Carleton,26,65,40,5,18,27.8,8,12,12,26,12,65,0,0.282258065,0.214067278,0.365853659,0.625,0.080645161,0.438461538,0.170745589,0.375,0.634146341,0.123076923
2016-2017,Western,32,58,55.2,4,11,36.4,5,9,8,21,12,73,Brock,26,57,45.6,8,16,50,4,4,10,19,17,64,1,0.586206897,0.181928441,0.296296296,0.677419355,0.086206897,0.526315789,0.258515815,0.322580645,0.703703704,0.070175439
2016-2017,Windsor,27,64,42.2,6,16,37.5,13,22,13,33,11,73,McMaster,27,60,45,6,14,42.9,14,19,7,31,6,74,0,0.46875,0.153459821,0.295454545,0.825,0.203125,0.5,0.089073634,0.175,0.704545455,0.233333333
2016-2017,Algoma,22,55,40,7,21,33.3,15,17,10,25,23,66,Laurentian,17,57,29.8,7,25,28,13,18,12,14,21,54,1,0.463636364,0.304716481,0.416666667,0.675675676,0.272727273,0.359649123,0.284090909,0.324324324,0.583333333,0.228070175
2016-2017,Carleton,21,65,32.3,7,22,31.8,22,29,13,27,21,71,Ryerson,22,69,31.9,5,18,27.8,16,19,11,26,19,65,1,0.376923077,0.244869403,0.333333333,0.710526316,0.338461538,0.355072464,0.222586692,0.289473684,0.666666667,0.231884058
2016-2017,Lakehead,23,66,34.8,4,19,21.1,11,13,9,31,17,61,Waterloo,18,75,24,2,27,7.4,3,3,14,26,18,41,1,0.378787879,0.213246362,0.257142857,0.688888889,0.166666667,0.253333333,0.224103586,0.311111111,0.742857143,0.04
2016-2017,Ottawa,23,58,39.7,10,23,43.5,7,10,13,19,17,63,Toronto,20,48,41.7,6,19,31.6,11,20,9,25,21,57,1,0.482758621,0.256024096,0.342105263,0.678571429,0.120689655,0.479166667,0.305232558,0.321428571,0.657894737,0.229166667
2016-2017,Queens,30,85,35.3,6,18,33.3,10,14,26,28,15,76,York,18,54,33.3,2,5,40,14,22,12,32,27,52,1,0.388235294,0.187125749,0.448275862,0.7,0.117647059,0.351851852,0.343162176,0.3,0.551724138,0.259259259
2016-2017,Algoma,22,55,40,10,25,40,15,17,9,27,22,69,Nipissing,15,55,27.3,8,28,28.6,11,18,7,13,20,49,1,0.490909091,0.291467939,0.409090909,0.794117647,0.272727273,0.345454545,0.263435195,0.205882353,0.590909091,0.2
2016-2017,Carleton,24,64,37.5,8,28,28.6,10,22,11,35,17,66,Toronto,17,68,25,5,18,27.8,13,18,11,24,13,52,1,0.4375,0.213353414,0.314285714,0.760869565,0.15625,0.286764706,0.166837782,0.239130435,0.685714286,0.191176471
2016-2017,Guelph,25,69,36.2,7,21,33.3,16,26,14,23,21,73,Waterloo,34,67,50.7,4,16,25,14,17,7,25,20,86,0,0.413043478,0.240164684,0.358974359,0.766666667,0.231884058,0.537313433,0.228623685,0.233333333,0.641025641,0.208955224
2016-2017,Lakehead,18,84,21.4,0,19,0,9,15,29,23,14,45,Wilfrid Laurier,22,72,30.6,6,29,20.7,14,18,16,24,13,64,0,0.214285714,0.185185185,0.547169811,0.58974359,0.107142857,0.347222222,0.16900676,0.41025641,0.452830189,0.194444444
2016-2017,Ottawa,26,61,42.6,6,17,35.3,8,9,10,27,15,66,Ryerson,23,69,33.3,2,24,8.3,8,12,16,26,11,56,1,0.475409836,0.214408233,0.277777778,0.627906977,0.131147541,0.347826087,0.158775982,0.372093023,0.722222222,0.115942029
2016-2017,Western,17,53,32.1,2,16,12.5,4,8,9,32,31,40,McMaster,37,85,43.5,13,37,35.1,5,9,18,27,9,92,0,0.339622642,0.394803872,0.25,0.64,0.075471698,0.511764706,0.112556278,0.36,0.75,0.058823529
2016-2017,Windsor,35,73,47.9,10,24,41.7,6,6,15,30,13,86,Brock,19,62,30.6,2,13,15.4,9,16,10,16,15,49,1,0.547945205,0.176534492,0.483870968,0.75,0.082191781,0.322580645,0.202593193,0.25,0.516129032,0.14516129
2017-2018,Brock,24,66,36.4,5,15,33.3,9,15,20,28,25,62,Western,19,62,30.6,4,17,23.5,11,13,14,22,24,53,1,0.401515152,0.322164948,0.476190476,0.666666667,0.136363636,0.338709677,0.308800823,0.333333333,0.523809524,0.177419355
2017-2018,McMaster,25,67,37.3,6,22,27.3,14,20,14,32,19,70,Guelph,21,71,29.6,3,17,17.6,16,23,19,19,19,61,1,0.417910448,0.235148515,0.424242424,0.62745098,0.208955224,0.316901408,0.234220907,0.37254902,0.575757576,0.225352113
2017-2018,Algoma,21,53,39.6,9,22,40.9,7,17,3,15,16,58,Ryerson,28,67,41.8,4,15,26.7,18,27,14,19,11,78,0,0.481132075,0.217746326,0.136363636,0.517241379,0.132075472,0.447761194,0.144965735,0.482758621,0.863636364,0.268656716
2017-2018,Queens,26,75,34.7,8,28,28.6,17,22,20,31,13,77,Lakehead,23,80,28.8,7,20,35,8,10,15,26,12,61,1,0.4,0.167353244,0.434782609,0.673913043,0.226666667,0.33125,0.147420147,0.326086957,0.565217391,0.1
2017-2018,Algoma,10,59,16.9,2,21,9.5,6,7,9,19,20,28,Toronto,26,59,44.1,10,20,50,5,13,10,35,21,67,0,0.186440678,0.273672687,0.204545455,0.655172414,0.101694915,0.525423729,0.277337559,0.344827586,0.795454545,0.084745763
2017-2018,Brock,28,69,40.6,5,17,29.4,4,6,19,34,22,65,Wilfrid Laurier,21,70,30,5,25,20,13,20,15,25,16,60,1,0.442028986,0.294748124,0.431818182,0.693877551,0.057971014,0.335714286,0.200501253,0.306122449,0.568181818,0.185714286
2017-2018,Waterloo,17,53,32.1,4,13,30.8,5,11,11,28,15,43,Western,16,61,26.2,6,23,26.1,10,21,13,23,11,48,0,0.358490566,0.242561449,0.323529412,0.682926829,0.094339623,0.31147541,0.16119578,0.317073171,0.676470588,0.163934426
2017-2018,Windsor,30,55,54.5,12,17,70.6,15,25,6,28,25,87,Guelph,26,77,33.8,4,15,26.7,13,17,17,21,22,69,1,0.654545455,0.294117647,0.222222222,0.622222222,0.272727273,0.363636364,0.245864998,0.377777778,0.777777778,0.168831169
2017-2018,York,24,59,40.7,1,11,9.1,14,17,10,23,27,63,Lakehead,22,60,36.7,5,19,26.3,20,23,10,20,21,69,0,0.415254237,0.323430762,0.333333333,0.696969697,0.237288136,0.408333333,0.25887574,0.303030303,0.666666667,0.333333333
2017-2018,Carleton,32,72,44.4,8,24,33.3,17,23,15,28,16,89,Guelph,14,55,25.5,2,8,25,16,24,9,17,22,46,1,0.5,0.192492782,0.46875,0.756756757,0.236111111,0.272727273,0.280040733,0.243243243,0.53125,0.290909091
2017-2018,Laurentian,15,44,34.1,6,16,37.5,13,21,12,32,20,49,Waterloo,19,62,30.6,1,9,11.1,7,12,10,22,12,46,1,0.409090909,0.326583932,0.352941176,0.761904762,0.295454545,0.314516129,0.173210162,0.238095238,0.647058824,0.112903226
2017-2018,Nipissing,13,60,21.7,5,25,20,9,15,7,18,12,40,Wilfrid Laurier,27,62,43.5,8,18,44.4,21,33,12,24,6,83,0,0.258333333,0.167597765,0.225806452,0.6,0.15,0.5,0.085082246,0.4,0.774193548,0.338709677
2017-2018,Ottawa,29,78,37.2,0,13,0,18,37,29,27,16,76,Algoma,15,55,27.3,4,24,16.7,11,15,9,30,25,45,1,0.371794872,0.196850394,0.491525424,0.75,0.230769231,0.309090909,0.322164948,0.25,0.508474576,0.2
2017-2018,Queens,30,59,50.8,7,21,33.3,23,34,12,29,17,90,McMaster,28,72,38.9,12,33,36.4,11,14,12,17,15,79,1,0.56779661,0.215298886,0.413793103,0.707317073,0.389830508,0.472222222,0.184820108,0.292682927,0.586206897,0.152777778
2017-2018,Western,25,66,37.9,2,10,20,8,13,16,38,22,60,Toronto,24,76,31.6,8,24,33.3,3,11,10,22,19,59,1,0.393939394,0.283067422,0.421052632,0.791666667,0.121212121,0.368421053,0.211487088,0.208333333,0.578947368,0.039473684
2017-2018,Windsor,23,72,31.9,9,25,36,7,10,23,29,18,62,Ryerson,19,65,29.2,0,13,0,4,9,15,19,12,42,1,0.381944444,0.25210084,0.547619048,0.659090909,0.097222222,0.292307692,0.181928441,0.340909091,0.452380952,0.061538462
2017-2018,York,22,69,31.9,1,8,12.5,10,13,9,27,23,55,Brock,18,54,33.3,1,8,12.5,9,15,6,30,33,46,1,0.326086957,0.259242561,0.230769231,0.818181818,0.144927536,0.342592593,0.376712329,0.181818182,0.769230769,0.166666667
2017-2018,Carleton,34,72,47.2,9,23,39.1,16,25,18,30,12,93,Algoma,11,50,22,5,20,25,10,14,4,20,21,37,1,0.534722222,0.155844156,0.473684211,0.882352941,0.222222222,0.27,0.2870421,0.117647059,0.526315789,0.2
2017-2018,Laurentian,27,71,38,7,25,28,14,18,19,32,15,75,Wilfrid Laurier,26,72,36.1,9,27,33.3,20,26,14,29,8,81,0,0.429577465,0.200213561,0.395833333,0.695652174,0.197183099,0.423611111,0.103305785,0.304347826,0.604166667,0.277777778
2017-2018,Nipissing,23,62,37.1,14,37,37.8,14,21,9,33,13,74,Waterloo,20,61,32.8,7,18,38.9,14,20,7,26,15,61,1,0.483870968,0.172780436,0.257142857,0.825,0.225806452,0.385245902,0.192802057,0.175,0.742857143,0.229508197
2017-2018,Ottawa,21,67,31.3,5,15,33.3,19,25,25,26,19,66,Guelph,28,68,41.2,7,16,43.8,17,19,14,24,12,80,0,0.350746269,0.263888889,0.510204082,0.65,0.28358209,0.463235294,0.161377084,0.35,0.489795918,0.25
2017-2018,Queens,30,79,38,3,25,12,17,25,27,32,18,80,Brock,13,61,21.3,0,6,0,12,20,12,22,26,38,1,0.398734177,0.222222222,0.551020408,0.727272727,0.215189873,0.213114754,0.31026253,0.272727273,0.448979592,0.196721311
2017-2018,Western,26,54,48.1,3,14,21.4,11,14,11,27,20,66,Ryerson,20,51,39.2,5,15,33.3,10,13,3,17,21,55,1,0.509259259,0.2891845,0.392857143,0.9,0.203703704,0.441176471,0.281049251,0.1,0.607142857,0.196078431
2017-2018,Windsor,28,62,45.2,10,20,50,17,19,7,26,17,83,Toronto,24,63,38.1,1,9,11.1,11,14,10,18,16,60,1,0.532258065,0.211548034,0.28,0.722222222,0.274193548,0.388888889,0.212879191,0.277777778,0.72,0.174603175
2017-2018,York,19,65,29.2,3,17,17.6,10,17,10,16,16,51,McMaster,26,55,47.3,9,27,33.3,8,10,7,25,23,69,0,0.315384615,0.203873598,0.285714286,0.695652174,0.153846154,0.554545455,0.305039788,0.304347826,0.714285714,0.145454545
2017-2018,Guelph,26,65,40,7,19,36.8,14,21,6,17,25,73,York,21,59,35.6,3,11,27.3,9,19,13,22,31,54,1,0.453846154,0.268125268,0.214285714,0.566666667,0.215384615,0.381355932,0.36316776,0.433333333,0.785714286,0.152542373
2017-2018,Ryerson,29,73,39.7,5,18,27.8,18,25,20,27,18,81,Brock,21,57,36.8,2,10,20,14,21,14,26,29,58,1,0.431506849,0.219512195,0.434782609,0.658536585,0.246575342,0.385964912,0.356967011,0.341463415,0.565217391,0.245614035
2017-2018,Algoma,21,49,42.9,4,11,36.4,13,15,6,35,33,59,Queen's,27,78,34.6,3,19,15.8,15,21,12,18,6,72,0,0.469387755,0.399515738,0.25,0.744680851,0.265306122,0.365384615,0.073855244,0.255319149,0.75,0.192307692
2017-2018,Lakehead,34,77,44.2,9,27,33.3,11,13,20,28,21,88,Laurentian,16,63,25.4,5,18,27.8,9,13,11,17,28,46,1,0.5,0.25083612,0.540540541,0.717948718,0.142857143,0.293650794,0.32664489,0.282051282,0.459459459,0.142857143
2017-2018,Ryerson,31,59,52.5,8,19,42.1,13,17,11,29,18,83,McMaster,26,75,34.7,10,32,31.2,9,10,21,19,17,71,1,0.593220339,0.244964616,0.366666667,0.58,0.220338983,0.413333333,0.225464191,0.42,0.633333333,0.12
2017-2018,Toronto,25,58,43.1,7,19,36.8,14,25,11,25,19,71,Brock,16,65,24.6,2,15,13.3,12,19,28,26,21,46,1,0.49137931,0.246753247,0.297297297,0.471698113,0.24137931,0.261538462,0.316455696,0.528301887,0.702702703,0.184615385
2017-2018,Western,32,65,49.2,1,13,7.7,7,11,6,14,17,72,Windsor,32,71,45.1,11,27,40.7,14,21,20,28,17,89,0,0.5,0.210291935,0.176470588,0.411764706,0.107692308,0.528169014,0.220093216,0.588235294,0.823529412,0.197183099
2017-2018,Waterloo,15,50,30,3,12,25,6,10,3,17,17,39,Carleton,28,65,43.1,5,26,19.2,15,20,18,31,12,76,0,0.33,0.248538012,0.088235294,0.485714286,0.12,0.469230769,0.17699115,0.514285714,0.911764706,0.230769231
2017-2018,Wilfrid Laurier,30,65,46.2,11,36,30.6,16,27,8,26,21,87,Ottawa,35,77,45.5,5,31,16.1,8,14,15,24,25,83,1,0.546153846,0.23364486,0.25,0.634146341,0.246153846,0.487012987,0.268355517,0.365853659,0.75,0.103896104
2017-2018,Algoma,12,47,25.5,5,23,21.7,17,20,9,19,42,46,York,28,73,38.4,6,16,37.5,24,31,17,24,27,86,0,0.308510638,0.472972973,0.272727273,0.527777778,0.361702128,0.424657534,0.279387417,0.472222222,0.727272727,0.328767123
2017-2018,Lakehead,29,72,40.3,5,29,17.2,11,20,18,24,21,74,Nipissing,16,59,27.1,6,29,20.7,4,4,8,26,34,42,1,0.4375,0.250596659,0.409090909,0.75,0.152777778,0.322033898,0.391885662,0.25,0.590909091,0.06779661
2017-2018,Toronto,17,60,28.3,2,13,15.4,11,24,20,24,19,47,McMaster,26,74,35.1,8,28,28.6,11,13,24,32,15,71,0,0.3,0.273145486,0.384615385,0.5,0.183333333,0.405405405,0.212104072,0.5,0.615384615,0.148648649
2017-2018,Waterloo,13,55,23.6,3,22,13.6,7,10,7,23,16,36,Ottawa,22,70,31.4,3,15,20,11,20,19,27,9,58,0,0.263636364,0.233918129,0.205882353,0.547619048,0.127272727,0.335714286,0.130813953,0.452380952,0.794117647,0.157142857
2017-2018,Wilfrid Laurier,19,71,26.8,3,17,17.6,9,13,9,21,11,50,Carleton,30,68,44.1,10,25,40,7,10,15,40,18,77,0,0.288732394,0.139735772,0.183673469,0.583333333,0.126760563,0.514705882,0.23872679,0.416666667,0.816326531,0.102941176
2017-2018,Carleton,24,54,44.4,6,13,46.2,12,14,8,32,11,66,Ottawa,15,59,25.4,2,9,22.2,4,7,6,20,11,36,1,0.5,0.174160861,0.285714286,0.842105263,0.222222222,0.271186441,0.163983304,0.157894737,0.714285714,0.06779661
2017-2018,Guelph,24,74,32.4,4,18,22.2,10,15,12,17,18,62,Ryerson,30,66,45.5,2,13,15.4,13,22,17,32,28,75,0,0.351351351,0.207852194,0.272727273,0.5,0.135135135,0.46969697,0.323027227,0.5,0.727272727,0.196969697
2017-2018,Algoma,12,59,20.3,5,23,21.7,12,17,11,29,29,41,Lakehead,32,83,38.6,3,27,11.1,10,21,19,30,11,77,0,0.245762712,0.343276515,0.268292683,0.604166667,0.203389831,0.403614458,0.130579297,0.395833333,0.731707317,0.120481928
2017-2018,Brock,21,53,39.6,5,9,55.6,14,23,17,28,17,61,Nipissing,13,57,22.8,4,29,13.8,12,18,10,24,21,42,1,0.443396226,0.269328264,0.414634146,0.736842105,0.264150943,0.263157895,0.276606955,0.263157895,0.585365854,0.210526316
2017-2018,Carleton,27,72,37.5,6,19,31.6,10,16,9,27,10,70,Windsor,13,56,23.2,4,20,20,16,26,12,33,25,46,1,0.416666667,0.124937531,0.214285714,0.692307692,0.138888889,0.267857143,0.310790651,0.307692308,0.785714286,0.285714286
2017-2018,McMaster,29,60,48.3,10,24,41.7,12,17,14,23,11,80,Laurentian,18,47,38.3,1,11,9.1,17,23,8,17,13,54,1,0.566666667,0.170595533,0.451612903,0.741935484,0.2,0.393617021,0.209272376,0.258064516,0.548387097,0.361702128
2017-2018,Ottawa,22,61,36.1,5,18,27.8,3,5,15,28,14,52,Western,14,51,27.5,4,20,20,7,14,9,24,21,39,1,0.401639344,0.225080386,0.384615385,0.756756757,0.049180328,0.31372549,0.303643725,0.243243243,0.615384615,0.137254902
2017-2018,Waterloo,12,53,22.6,1,13,7.7,10,14,5,28,24,35,Queen's,22,84,26.2,1,17,5.9,7,11,25,32,14,52,0,0.235849057,0.307062436,0.135135135,0.528301887,0.188679245,0.267857143,0.179856115,0.471698113,0.864864865,0.083333333
2017-2018,Wilfrid Laurier,18,68,26.5,7,24,29.2,15,19,14,26,19,58,York,27,64,42.2,3,12,25,12,19,10,30,18,69,0,0.316176471,0.23352999,0.318181818,0.722222222,0.220588235,0.4453125,0.223992036,0.277777778,0.681818182,0.1875
2017-2018,Algoma,20,62,32.3,4,19,21.1,8,15,15,20,19,52,Lakehead,29,67,43.3,6,23,26.1,20,24,13,22,10,84,0,0.35483871,0.261707989,0.405405405,0.606060606,0.129032258,0.47761194,0.134120172,0.393939394,0.594594595,0.298507463
2017-2018,Brock,27,65,41.5,1,9,11.1,21,28,22,32,21,76,Laurentian,20,68,29.4,5,20,25,12,14,17,20,16,57,1,0.423076923,0.275157233,0.523809524,0.653061224,0.323076923,0.330882353,0.218698742,0.346938776,0.476190476,0.176470588
2017-2018,Carleton,25,59,42.4,8,20,40,13,16,12,24,14,71,Western,20,54,37,3,9,33.3,5,8,12,25,19,48,1,0.491525424,0.205761317,0.324324324,0.666666667,0.220338983,0.398148148,0.294482331,0.333333333,0.675675676,0.092592593
2017-2018,Guelph,24,60,40,2,9,22.2,19,28,11,26,26,69,Toronto,17,55,30.9,4,17,23.5,14,28,6,18,22,52,1,0.416666667,0.297755383,0.379310345,0.8125,0.316666667,0.345454545,0.264042247,0.1875,0.620689655,0.254545455
2017-2018,McMaster,26,71,36.6,12,34,35.3,7,13,20,35,13,71,Nipissing,15,64,23.4,5,30,16.7,7,9,22,21,18,42,1,0.450704225,0.186460126,0.487804878,0.614035088,0.098591549,0.2734375,0.281425891,0.385964912,0.512195122,0.109375
2017-2018,Ottawa,18,64,28.1,1,9,11.1,8,10,17,29,21,45,Windsor,19,56,33.9,5,16,31.2,6,15,14,29,23,49,0,0.2890625,0.290055249,0.369565217,0.674418605,0.125,0.383928571,0.32122905,0.325581395,0.630434783,0.107142857
2017-2018,Waterloo,15,63,23.8,4,15,26.7,6,11,13,20,19,40,York,20,58,34.5,1,11,9.1,21,26,9,33,13,62,0,0.26984127,0.257313109,0.282608696,0.689655172,0.095238095,0.353448276,0.177015251,0.310344828,0.717391304,0.362068966
