Year,Home,hFGM,hFGA,hFGpercent,h3PM,h3PA,h3Ppercent,hFTM,hFTA,hOREB,hDREB,hTO,hPoints,Away,aFGM,aFGA,aFGpercent,a3PM,a3PA,a3Ppercent,aFTM,aFTA,aOREB,aDREB,aTO,aPoints,HTWon,heFG,hTOV,hORB,hDRB,hFTF,aeFG,aTOV,aORB,aDRB,aFTF
2015-2016,York,17,64,26.6,2,15,13.3,11,14,9,18,15,47,Western,34,63,54,9,17,52.9,16,20,9,30,15,93,0,0.28125,0.196953782,0.230769231,0.666666667,0.171875,0.611111111,0.192802057,0.333333333,0.769230769,0.253968254
2015-2016,Guelph,18,77,23.4,4,21,19,14,16,19,24,18,54,Ryerson,27,67,40.3,2,11,18.2,21,28,15,31,19,77,0,0.25974026,0.216763006,0.38,0.615384615,0.181818182,0.417910448,0.228036486,0.384615385,0.62,0.313432836
2015-2016,Algoma,17,62,27.4,2,18,11.1,20,26,14,22,19,56,York,25,61,41,4,13,30.8,13,19,7,28,13,67,0,0.290322581,0.242223355,0.333333333,0.75862069,0.322580645,0.442622951,0.172505308,0.24137931,0.666666667,0.213114754
2015-2016,Brock,28,81,34.6,6,30,20,4,7,19,29,17,66,Laurentian,20,56,35.7,6,27,22.2,10,12,8,35,28,56,1,0.382716049,0.20711501,0.351851852,0.783783784,0.049382716,0.410714286,0.344488189,0.216216216,0.648148148,0.178571429
2015-2016,Carleton,30,64,46.9,3,20,15,6,8,20,31,16,69,Wilfrid Laurier,18,65,27.7,2,25,8,8,9,15,16,15,46,1,0.4921875,0.251889169,0.555555556,0.673913043,0.09375,0.292307692,0.217517401,0.326086957,0.444444444,0.123076923
2015-2016,Guelph,30,75,40,5,18,27.8,8,18,11,24,13,73,Toronto,20,52,38.5,4,16,25,12,29,6,25,25,56,1,0.433333333,0.153085257,0.305555556,0.8,0.106666667,0.423076923,0.298471824,0.2,0.694444444,0.230769231
2015-2016,Lakehead,24,62,38.7,8,25,32,2,2,12,19,24,58,Ryerson,24,66,36.4,4,14,28.6,18,24,16,17,17,70,0,0.451612903,0.320512821,0.413793103,0.542857143,0.032258065,0.393939394,0.219185147,0.457142857,0.586206897,0.272727273
2015-2016,McMaster,38,84,45.2,6,27,22.2,3,8,21,27,11,85,Nipissing,12,50,24,0,10,0,2,4,8,24,35,26,1,0.488095238,0.141898865,0.466666667,0.771428571,0.035714286,0.24,0.444388014,0.228571429,0.533333333,0.04
2015-2016,Ottawa,29,69,42,3,18,16.7,11,14,14,36,14,72,Waterloo,21,70,30,2,13,15.4,7,7,9,25,12,51,1,0.442028986,0.186269292,0.358974359,0.8,0.15942029,0.314285714,0.157728707,0.2,0.641025641,0.1
2015-2016,Algoma,12,53,22.6,6,22,27.3,4,13,5,24,21,34,Queen's,27,73,37,5,26,19.2,8,15,16,34,11,67,0,0.283018868,0.281049251,0.128205128,0.6,0.075471698,0.404109589,0.147453083,0.4,0.871794872,0.109589041
