Season,Team,Opponent,Player,3PM,3PA,2PM,2PA,FGM,FGA,FTM,FTA,OReb,DReb,Reb,Turnover,Points,eFG,TOV,FTF
2023-24,Waterloo,Windsor2,Charissa Virr,1,3,0,0,1,3,0,0,2,1,3,3,3,0.5,0.5,0
2023-24,Waterloo,Western2,Carina Fiore,1,2,2,4,3,6,0,0,3,5,8,3,7,0.583333333,0.333333333,0
2023-24,Waterloo,Western2,Jemima Lacroix,0,0,1,4,1,4,2,2,0,4,4,2,4,0.25,0.290697674,0.5
2023-24,Waterloo,Western2,Alliasen Miscione,0,0,0,3,0,3,2,2,0,1,1,2,2,0,0.340136054,0.666666667
2023-24,Waterloo,Western2,Jaime Newell,0,0,4,7,4,7,2,2,1,6,7,2,10,0.571428571,0.20242915,0.285714286
2023-24,Waterloo,Western2,Nehita Oko-Oboh,0,0,3,8,3,8,2,2,3,5,8,3,8,0.375,0.252525253,0.25
2023-24,Waterloo,Western2,Yemi Oladipo,0,0,0,5,0,5,0,0,0,4,4,2,0,0,0.285714286,0
2023-24,Waterloo,Western2,Summer Pahl,1,3,0,5,1,8,2,2,1,2,3,1,5,0.1875,0.101214575,0.25
2023-24,Waterloo,Western2,Ghiselle Poblete,0,4,6,13,6,17,2,2,0,4,4,3,14,0.352941176,0.143678161,0.117647059
2023-24,Waterloo,Western2,Alyssa Renaud,0,0,0,0,0,0,0,0,1,0,1,0,0,N/A,N/A,N/A
2023-24,Waterloo,Western2,Charissa Virr,0,1,1,2,1,3,0,0,0,1,1,2,2,0.333333333,0.4,0
2023-24,Waterloo,Toronto,Carina Fiore,0,0,1,3,1,3,1,2,1,4,5,0,3,0.333333333,0,0.666666667
2023-24,Waterloo,Toronto,Mya Jickling,0,0,0,1,0,1,0,2,0,1,1,1,0,0,0.347222222,2
2023-24,Waterloo,Toronto,Jemima Lacroix,0,0,1,3,1,3,0,2,1,7,8,1,2,0.333333333,0.204918033,0.666666667
2023-24,Waterloo,Toronto,Alliasen Miscione,0,0,0,1,0,1,2,2,0,1,1,2,2,0,0.515463918,2
2023-24,Waterloo,Toronto,Jaime Newell,0,0,2,3,2,3,1,2,5,2,7,0,5,0.666666667,0,0.666666667
2023-24,Waterloo,Toronto,Nehita Oko-Oboh,0,0,4,8,4,8,4,4,6,4,10,2,12,0.5,0.170068027,0.5
2023-24,Waterloo,Toronto,Yemi Oladipo,0,2,1,3,1,5,1,4,1,3,4,4,3,0.2,0.371747212,0.8
2023-24,Waterloo,Toronto,Summer Pahl,1,3,3,9,4,12,1,1,1,2,3,2,10,0.375,0.138504155,0.083333333
2023-24,Waterloo,Toronto,Ghiselle Poblete,2,3,3,11,5,14,5,6,0,4,4,2,17,0.428571429,0.107296137,0.428571429
2023-24,Waterloo,Toronto,Tamara Popovic,1,3,0,1,1,4,0,0,0,2,2,1,3,0.375,0.2,0
2023-24,Waterloo,Toronto,Alyssa Renaud,1,1,1,3,2,4,1,2,2,1,3,3,6,0.625,0.38071066,0.5
2023-24,Waterloo,Toronto,Charissa Virr,0,0,1,1,1,1,1,2,0,2,2,1,3,1,0.347222222,2
2023-24,Waterloo,Ottawa2,Carina Fiore,0,2,2,4,2,6,2,2,2,5,7,0,6,0.333333333,0,0.333333333
2023-24,Waterloo,Ottawa2,Mya Jickling,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2023-24,Waterloo,Ottawa2,Jemima Lacroix,0,0,1,3,1,3,2,2,0,2,2,0,4,0.333333333,0,0.666666667
2023-24,Waterloo,Ottawa2,Alliasen Miscione,0,0,0,1,0,1,2,2,0,0,0,2,2,0,0.515463918,2
2023-24,Waterloo,Ottawa2,Jaime Newell,0,0,0,7,0,7,0,0,1,5,6,1,0,0,0.125,0
2023-24,Waterloo,Ottawa2,Nehita Oko-Oboh,0,0,5,14,5,14,6,6,7,7,14,1,16,0.357142857,0.056689342,0.428571429
2023-24,Waterloo,Ottawa2,Yemi Oladipo,1,3,1,2,2,5,1,2,2,1,3,3,6,0.5,0.337837838,0.4
2023-24,Waterloo,Ottawa2,Summer Pahl,5,6,2,3,7,9,2,2,0,1,1,1,21,1.055555556,0.091911765,0.222222222
2023-24,Waterloo,Ottawa2,Ghiselle Poblete,2,7,0,5,2,12,1,2,0,2,2,5,7,0.25,0.279642058,0.166666667
2023-24,Waterloo,Ottawa2,Charissa Virr,0,0,1,3,1,3,1,1,1,0,1,1,3,0.333333333,0.225225225,0.333333333
