Team,Opponent,Result,Game Score,3PTM,3PTA,3Pt%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,PF,A,TO,Blk,Stl,Pts
York,Toronto,Win,61-60,4,10,40,23,63,36.5,11,19,57.9,8,24,32,13,0,12,0,10,61
York,Toronto,Loss,80-82,2,15,13.3,25,62,40.3,28,45,62.2,17,23,40,27,7,20,0,13,80
York,Ottawa,Loss,57-71,2,14,14.3,17,55,30.9,21,24,87.5,12,17,29,21,4,22,2,11,57
York,Carleton,Loss,41-107,3,15,20,13,61,21.3,12,17,70.6,11,17,28,25,9,27,2,6,41
York,McMaster,Loss,74-82,8,35,22.9,22,74,29.7,22,30,73.3,14,26,40,20,6,16,1,12,74
York,Ontario Tech,Win,93-48,10,23,43.5,35,72,48.6,13,21,61.9,11,30,41,17,13,13,4,8,93
York,Queen's,Loss,53-95,7,25,28,16,63,25.4,14,20,70,12,20,32,24,11,27,0,8,53
York,Brock,Loss,75-85,8,20,40,26,57,45.6,15,17,88.2,9,16,25,15,17,19,1,3,75
York,McMaster,Loss,55-76,6,23,26.1,20,64,31.2,9,15,60,10,27,37,22,17,15,1,5,55
York,Laurentian,Loss,67-70,5,25,20,20,72,27.8,22,31,71,18,25,43,18,7,18,1,15,67
York,Nipissing,Win,88-69,7,22,31.8,33,63,52.4,15,25,60,7,18,25,22,16,10,0,15,88
York,Algoma,Win,96-57,7,24,29.2,34,80,42.5,21,30,70,23,27,50,15,21,12,0,17,96
York,Guelph,Win,66-65,8,21,38.1,22,61,36.1,14,17,82.4,11,20,31,15,7,17,1,9,66
York,Laurier,Loss,56-86,6,23,26.1,21,65,32.3,8,12,66.7,15,21,36,15,9,26,6,9,56
York,Toronto Metropolitan,Loss,66-74,6,20,30,26,70,37.1,8,14,57.1,18,28,46,19,15,18,2,8,66
York,Toronto Metropolitan,Loss,68-75,8,23,34.8,20,63,31.7,20,24,83.3,13,15,28,20,9,11,0,8,68
,,,,,,,,,,,,,,,,,,,,,
