Team,Opponent,Result,Game Score,3PTM,3PTA,3Pt%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,PF,A,TO,Blk,Stl,Pts
Queen's,McMaster,Win,101-58,12,26,46.2,35,68,51.5,19,26,73.1,17,35,52,13,22,15,3,11,101
Queen's,York,Win,95-53,2,14,14.3,31,68,45.6,31,35,88.6,16,34,50,18,23,16,6,13,95
Queen's,Toronto Metropolitan,Win,75-54,7,21,33.3,26,66,39.4,16,16,100,17,32,49,13,16,17,4,10,75
Queen's,Toronto,Win,81-69,6,15,40,29,60,48.3,17,27,63,13,32,45,19,10,17,7,6,81
Queen's,Western,Win,88-58,8,24,33.3,35,75,46.7,10,18,55.6,10,34,44,15,21,8,3,7,88
Queen's,Windsor,Win,54-46,2,19,10.5,16,59,27.1,20,26,76.9,6,24,30,16,8,11,6,11,54
Queen's,Laurier,Win,75-56,9,26,34.6,28,64,43.8,10,16,62.5,13,35,48,12,25,16,4,9,75
Queen's,Waterloo,Win,67-42,9,29,31,18,54,33.3,22,38,57.9,11,22,33,16,14,16,5,12,67
Queen's,Lakehead,Win,82-27,7,25,28,29,67,43.3,17,26,65.4,15,38,53,10,23,9,1,9,82
Queen's,Ottawa,Loss,71-74,6,13,46.2,25,60,41.7,15,23,65.2,13,21,34,12,12,18,4,9,71
Queen's,Carleton,Loss,63-70,5,21,23.8,19,55,34.5,20,22,90.9,9,26,35,16,13,14,3,4,63
Queen's,Guelph,Win,68-51,2,14,14.3,26,65,40,14,19,73.7,16,30,46,15,19,22,4,11,68
Queen's,Toronto Metropolitan,Win,67-49,6,20,30,25,72,34.7,11,17,64.7,15,26,41,13,15,10,2,8,67
Queen's,Carleton,Loss,55-63,6,20,30,18,55,32.7,13,17,76.5,6,26,32,17,11,18,5,8,55
Queen's,Carleton,Loss,40-74,5,27,18.5,14,60,23.3,7,13,53.8,13,27,40,21,9,24,7,4,40
Toronto Metropolitan,Lakehead,Win,70-53,4,17,23.5,30,68,44.1,6,14,42.9,15,31,46,14,16,15,6,10,70
Toronto Metropolitan,Lakehead,Win,75-50,5,16,31.2,29,76,38.2,12,16,75,17,28,45,16,19,14,5,14,75
Toronto Metropolitan,McMaster,Win,71-65,8,23,34.8,30,73,41.1,3,9,33.3,18,32,50,13,16,17,1,4,71
Toronto Metropolitan,Brock,Win,71-48,10,31,32.3,28,64,43.8,5,7,71.4,5,32,37,12,23,15,3,11,71
Toronto Metropolitan,Toronto,Win,66-47,3,16,18.8,22,68,32.4,19,24,79.2,19,35,54,13,6,15,1,10,66
Toronto Metropolitan,Toronto,Win,81-79,5,15,33.3,27,63,42.9,22,32,68.8,16,21,37,24,17,20,5,14,81
Toronto Metropolitan,McMaster,Win,71-68,7,28,25,27,73,37,10,13,76.9,13,25,38,13,11,16,1,15,71
Toronto Metropolitan,Ontario Tech,Win,89-74,7,29,24.1,33,79,41.8,16,21,76.2,19,21,40,11,17,7,0,15,89
Toronto Metropolitan,Laurier,Win,66-55,5,23,21.7,25,63,39.7,11,15,73.3,13,36,49,13,18,16,5,8,66
Toronto Metropolitan,Waterloo,Win,56-46,5,22,22.7,16,60,26.7,19,24,79.2,9,26,35,18,7,15,5,12,56
Toronto Metropolitan,Brock,Loss,56-78,5,24,20.8,19,62,30.6,13,20,65,13,14,27,13,12,10,4,5,56
Toronto Metropolitan,Windsor,Win,45-41,4,20,20,18,55,32.7,5,13,38.5,7,28,35,13,4,21,2,6,45
Toronto Metropolitan,Western,Loss,54-64,5,23,21.7,21,56,37.5,7,8,87.5,11,25,36,13,9,5,3,3,54
Toronto Metropolitan,Queen's,Loss,54-75,6,17,35.3,21,63,33.3,6,11,54.5,10,23,33,16,13,18,3,7,54
Toronto Metropolitan,Guelph,Loss,36-60,1,16,6.2,12,47,25.5,11,14,78.6,8,26,34,17,3,31,1,9,36
Toronto Metropolitan,Algoma,Win,81-40,8,19,42.1,32,69,46.4,9,14,64.3,14,29,43,13,19,16,2,13,81
Toronto Metropolitan,Nipissing,Win,75-57,11,27,40.7,27,72,37.5,10,12,83.3,11,26,37,18,19,12,5,15,75
Toronto Metropolitan,Laurentian,Win,71-63,9,25,36,22,56,39.3,18,22,81.8,9,29,38,13,12,17,2,7,71
Toronto Metropolitan,Ottawa,Loss,43-71,3,18,16.7,17,58,29.3,6,11,54.5,13,23,36,9,7,18,5,8,43
Toronto Metropolitan,Carleton,Loss,61-92,9,20,45,19,51,37.3,14,18,77.8,5,17,22,16,8,21,2,6,61
Toronto Metropolitan,York,Win,74-66,6,19,31.6,24,58,41.4,20,22,90.9,8,25,33,14,17,20,6,10,74
Toronto Metropolitan,York,Win,75-68,6,17,35.3,24,55,43.6,21,22,95.5,8,25,33,18,8,14,1,6,75
Toronto Metropolitan,Western,Win,66-54,10,24,41.7,22,61,36.1,12,17,70.6,14,29,43,13,14,18,3,9,66
Toronto Metropolitan,Brock,Win,73-65,9,26,34.6,21,63,33.3,22,30,73.3,17,22,39,19,14,13,2,4,73
Toronto Metropolitan,Queen's,Loss,49-67,3,20,15,18,60,30,10,13,76.9,9,28,37,19,4,12,4,5,49
Toronto,Brock,Loss,69-79,13,41,31.7,24,67,35.8,8,13,61.5,9,25,34,21,16,17,1,8,69
Toronto,McMaster,Loss,41-84,3,28,10.7,13,61,21.3,12,16,75,8,27,35,8,4,18,4,12,41
Toronto,McMaster,Loss,46-67,4,29,13.8,14,69,20.3,14,21,66.7,13,25,38,17,7,23,3,10,46
Toronto,Toronto Metropolitan,Loss,47-66,6,29,20.7,19,57,33.3,3,11,27.3,8,32,40,19,8,21,3,4,47
Toronto,Toronto Metropolitan,Loss,79-81,9,20,45,29,58,50,12,21,57.1,12,25,37,22,20,26,1,8,79
Toronto,York,Loss,60-61,6,20,30,23,60,38.3,8,10,80,5,25,30,16,0,11,2,6,60
Toronto,York,Win,82-80,6,16,37.5,25,60,41.7,26,35,74.3,15,28,43,28,12,23,2,8,82
Toronto,Lakehead,Loss,57-61,6,23,26.1,16,58,27.6,19,21,90.5,20,30,50,21,5,19,3,2,57
Toronto,Lakehead,Win,68-53,8,28,28.6,22,66,33.3,16,16,100,11,32,43,17,15,11,7,7,68
Toronto,Guelph,Loss,57-91,6,30,20,20,65,30.8,11,21,52.4,14,26,40,21,7,23,4,9,57
Toronto,Brock,Loss,52-70,3,18,16.7,20,54,37,9,13,69.2,8,29,37,11,13,21,5,3,52
Toronto,Western,Loss,61-65,10,18,55.6,22,56,39.3,7,10,70,4,24,28,21,17,6,1,6,61
Toronto,Windsor,Loss,62-73,10,21,47.6,21,55,38.2,10,14,71.4,4,16,20,18,5,22,3,6,62
Toronto,Ontario Tech,Win,71-54,10,21,47.6,21,55,38.2,10,14,71.4,4,16,20,18,5,22,3,6,62
Toronto,Queen's,Loss,69-81,8,22,36.4,22,60,36.7,17,21,81,7,24,31,22,13,15,4,9,69
Toronto,Algoma,Loss,41-74,6,36,16.7,14,73,19.2,7,14,50,18,27,45,14,11,22,2,11,41
Toronto,Laurentian,Win,82-75,11,28,39.3,22,62,35.5,27,33,81.8,13,29,42,21,11,26,7,11,82
Toronto,Nipissing,Win,80-71,13,38,34.2,27,68,39.7,13,15,86.7,12,27,39,24,15,17,7,6,80
